CH_CD,CFE,HTEC
57.715,23343,11045.6
76.835,24512,11020.4
146.5,25125,10996.3
183.339,22686,10864.1
219.581,20345,10750.4
296.205,19909,10612.4
459.343,20754,10506.8
574.386,22684,9565
762.065,22337,9367.9
952.872,25156,9282.9
1183.66,23684,9114.6
1565.802,24277,9291
2177.335,22837,9353.3
2980.7,22987,9369.1
2356.907,18183,9243.5
2413.467,20381,8712.8
2786.83,21083,8528.1
2872.728,20405,8605.1
2464.779,18823,8549.1
2555.662,19855,8613.7
3476.933,20525,8535.4
3675.142,20817,8448.8
4317.087,21723.913,8670.6
4769.28,22224.841,8688.5
