PIB,CH_CD,CFE,HTEC
7610.60,57.715,23343.000,11045.600
11387.70,76.835,24512.000,11020.400
25500.10,146.500,25125.000,10996.300
37007.70,183.339,22686.000,10864.100
55126.40,219.581,20345.000,10750.400
80873.10,296.205,19909.000,10612.400
117391.40,459.343,20754.000,10506.800
152271.50,574.386,22684.000,9565.000
191917.60,762.065,22337.000,9367.900
244688.30,952.872,25156.000,9282.900
286861.90,1183.660,23684.000,9114.600
342762.60,1565.802,24277.000,9291.000
425691.10,2177.335,22837.000,9353.300
539834.60,2980.700,22987.000,9369.100
530894.40,2356.907,18183.000,9243.500
528247.00,2413.467,20381.000,8712.800
559244.80,2786.830,21083.000,8528.100
593742.90,2872.728,20405.000,8605.100
635459.40,2464.779,18823.000,8549.100
668590.10,2555.662,19855.000,8613.700
712587.80,3476.933,20525.000,8535.400
765135.40,3675.142,20817.000,8448.800
857895.70,4317.087,21723.913,8670.600
952396.80,4769.280,22224.841,8688.500
